S16000128,Linlithgow,Lothian,5-May-2016,71434,38550,38407,143,54,0.4,7699,10027,1319,19362,0,0,0,0,20.1,26.1,3.4,50.4,0,0,0,0,SNP,Lab
S16000129,Mid Fife & Glenrothes,Mid Scotland and Fife,5-May-2016,53241,28621,28547,74,53.8,0.3,4427,7279,1286,15555,0,0,0,0,15.5,25.5,4.5,54.5,0,0,0,0,SNP,Lab
S16000130,Midlothian North & Musselburgh,Lothian,5-May-2016,63360,34825,34685,140,55,0.4,6267,9913,1557,16948,0,0,0,0,18.1,28.6,4.5,48.9,0,0,0,0,SNP,Lab
S16000131,"Midlothian South, Tweeddale & Lauderdale",South Scotand,5-May-2016,60203,35737,35581,156,59.4,0.4,10163,5701,3686,16031,0,0,0,0,28.6,16,10.4,45.1,0,0,0,0,SNP,Con
S16000132,Moray,Highlands and Islands,5-May-2016,61969,33544,33421,123,54.1,0.4,12867,3547,1265,15742,0,0,0,0,38.5,10.6,3.8,47.1,0,0,0,0,SNP,Con
S16000133,Motherwell & Wishaw,Central,5-May-2016,57062,29244,29111,133,51.2,0.5,3991,9068,761,15291,0,0,0,0,13.7,31.2,2.6,52.5,0,0,0,0,SNP,Lab
S16000110,Nah h-Eilanan an Iar,Highlands and Islands,5-May-2016,21695,13265,13206,59,61.1,0.4,1499,3378,293,6874,0,0,0,1162,11.4,25.6,2.2,52.1,0,0,0,8.8,SNP,Lab
S16000134,North East Fife,Mid Scotland and Fife,5-May-2016,54052,34164,34063,101,63.2,0.3,5646,2026,14928,11463,0,0,0,0,16.6,6,43.8,33.7,0,0,0,0,LD,SNP
S16000135,Orkney Islands,Highlands and Islands,5-May-2016,16997,10562,10534,28,62.1,0.3,435,304,7096,2562,137,0,0,0,4.1,2.9,67.4,24.3,1.3,0,0,0,LD,SNP
S16000136,Paisley,West Scotland,5-May-2016,51673,29592,29464,128,57.3,0.4,3533,9483,1766,14682,0,0,0,0,12,32.2,6,49.8,0,0,0,0,SNP,Lab
S16000137,Perthshire North,Mid Scotland and Fife,5-May-2016,54225,34137,34025,112,63,0.3,13190,2604,1705,16526,0,0,0,0,38.8,7.7,5,48.6,0,0,0,0,SNP,Con
S16000138,Perthshire South & Kinross-shire,Mid Scotland and Fife,5-May-2016,59364,36261,36149,112,61.1,0.3,13893,3389,3008,15315,0,0,0,544,38.4,9.4,8.3,42.4,0,0,0,1.5,SNP,Con
S16000139,Renfrewshire North & West,West Scotland,5-May-2016,50555,30870,30807,63,61.1,0.2,7345,7244,888,14718,198,414,0,0,23.8,23.5,2.9,47.8,0.6,1.3,0,0,SNP,Con
S16000140,Renfrewshire South,West Scotland,5-May-2016,49422,29810,29681,129,60.3,0.4,4752,9864,793,14272,0,0,0,0,16,33.2,2.7,48.1,0,0,0,0,SNP,Lab
S16000141,Rutherglen,Glasgow,5-May-2016,60707,33087,32952,135,54.5,0.4,3718,11479,2533,15222,0,0,0,0,11.3,34.8,7.7,46.2,0,0,0,0,SNP,Lab
S16000142,Shetland Islands,Highlands and Islands,5-May-2016,17784,11087,11041,46,62.3,0.4,405,651,7440,2545,0,0,0,0,3.7,5.9,67.4,23.1,0,0,0,0,LD,SNP
S16000143,"Skye, Lochaber & Badenoch",Highlands and Islands,5-May-2016,59537,36644,36505,139,61.5,0.4,5887,3821,8319,17362,1116,0,0,0,16.1,10.5,22.8,47.6,3.1,0,0,0,SNP,LD
S16000144,Stirling,Mid Scotland and Fife,5-May-2016,55785,34318,34189,129,61.5,0.4,9585,6885,1416,16303,0,0,0,0,28,20.1,4.1,47.7,0,0,0,0,SNP,Con
S16000145,Strathkelvin & Bearsden,West Scotland,5-May-2016,62607,39361,39188,173,62.9,0.4,8960,8288,4880,17060,0,0,0,0,22.9,21.2,12.5,43.5,0,0,0,0,SNP,Con
S16000146,Uddingston & Bellshill,Central,5-May-2016,57565,29716,29543,173,51.6,0.6,4693,9615,811,14424,0,0,0,0,15.9,32.6,2.8,48.8,0,0,0,0,SNP,Lab
